noun,2016_rating_all,2016_std_all,2016_rating_m,2016_std_m,2016_rating_f,2016_std_f,kt_rating.f,kt_sd.f,kt_rating.m,kt_sd.m,kt_rating_all,kt_sd_all
accountant,4.34,1.15,4.5,1.27,4.17,1.01,4.25,-1.07,4.55,-1.47,4.4,-1.27
acrobat,3.66,1.09,3.64,1.28,3.69,0.87,3.85,-1.42,4.15,-1.42,4.0,-1.42
actuary,4.41,0.87,4.41,0.79,4.4,0.96,NA,NA,NA,NA,NA,NA
acupuncturist,3.88,1.25,3.8,1.23,3.98,1.28,4.0,-0.46,3.8,-0.89,3.9,-0.68
admiral,5.76,1.35,5.75,1.35,5.76,1.38,5.75,-1.29,5.85,-1.27,5.8,-1.28
advertiser,4.26,0.91,4.43,0.97,4.07,0.81,NA,NA,NA,NA,NA,NA
advicecolumnist,2.63,1.28,2.86,1.41,2.38,1.1,3.0,-1.34,2.4,-1.1,2.7,-1.22
aerobicsinstructor,2.3,1.05,2.41,1.17,2.19,0.92,2.1,-1.02,2.25,-1.21,2.17,-1.11
airstewardess,1.88,1.36,2.14,1.59,1.62,1.01,1.8,-0.89,1.55,-0.69,1.68,-0.79
airtrafficcontroller,5.29,1.08,5.25,1.16,5.33,1.0,5.5,-1.0,5.45,-1.05,5.47,-1.02
alcoholic,4.66,1.01,4.73,1.02,4.6,1.01,5.25,-1.12,5.55,-1.15,5.4,-1.14
allergist,4.03,1.09,4.07,1.17,4.0,1.01,4.55,-1.05,3.55,-0.83,4.05,-0.94
animalcaretaker,3.51,1.17,3.5,1.17,3.52,1.17,3.9,-0.91,3.4,-0.99,3.65,-0.95
animator,4.47,0.97,4.61,0.92,4.31,1.0,NA,NA,NA,NA,NA,NA
antiquedealer,4.01,1.01,4.09,1.1,3.93,0.92,3.45,-1.36,3.5,-1.61,3.48,-1.49
appdeveloper,4.66,1.12,4.8,1.07,4.52,1.17,NA,NA,NA,NA,NA,NA
architect,5.01,1.02,5.09,1.16,4.93,0.87,5.55,-1.15,5.1,-1.21,5.32,-1.18
artisan,3.88,0.94,3.86,0.93,3.9,0.96,4.2,-0.83,4.5,-0.95,4.35,-0.89
artist,3.93,0.89,4.0,0.96,3.86,0.81,3.8,-1.01,4.05,-0.6,3.92,-0.8
assistant,3.36,0.98,3.5,1.09,3.21,0.84,3.25,-0.85,3.5,-0.76,3.38,-0.8
astrologist,3.66,1.49,3.75,1.5,3.57,1.5,4.35,-1.09,4.35,-1.18,4.35,-1.14
astronaut,5.3,1.15,5.25,1.18,5.36,1.12,5.65,-0.99,5.85,-1.04,5.75,-1.02
astronomer,4.85,1.11,5.0,1.08,4.69,1.14,5.1,-1.02,4.5,-1.1,4.8,-1.06
